feedback_id,brand,source,timestamp,text,engagement_metrics,geo_location
FDBK-MAR-30114,Maruti,DealerSurvey,2024-09-20 19:29:13,"The Alto has good design, waiting for more reviews.","{'likes': 466, 'shares': 70, 'comments': 8}",Nagpur
FDBK-MAR-30115,Maruti,YouTubeComment,2024-09-21 04:15:37,Very satisfied with the mileage on my Ertiga.,"{'likes': 225, 'shares': 98, 'comments': 9}",Ahmedabad
FDBK-MAR-30116,Maruti,Facebook,2024-03-01 23:49:20,Very satisfied with the mileage on my Baleno.,"{'likes': 13, 'shares': 91, 'comments': 49}",Ahmedabad
FDBK-MAR-30117,Maruti,Instagram,2025-02-07 09:19:51,"The Fronx is perfect for my family, spacious and reliable.","{'likes': 215, 'shares': 89, 'comments': 10}",Jaipur
FDBK-MAR-30118,Maruti,Instagram,2025-02-25 15:20:39,Very satisfied with the mileage on my Swift.,"{'likes': 161, 'shares': 30, 'comments': 7}",Pune
FDBK-MAR-30119,Maruti,Facebook,2024-07-14 05:06:11,"The Alto is perfect for my family, spacious and reliable.","{'likes': 348, 'shares': 94, 'comments': 30}",Patna
FDBK-MAR-30120,Maruti,Facebook,2024-01-17 12:00:03,"Loving my new Dzire, smooth ride and great features!","{'likes': 246, 'shares': 31, 'comments': 25}",Patna
FDBK-MAR-30121,Maruti,Twitter,2025-02-05 01:56:06,The Swift is value for money and feature-rich.,"{'likes': 357, 'shares': 73, 'comments': 38}",Bengaluru
FDBK-MAR-30122,Maruti,Facebook,2024-03-25 19:02:57,Mileage of my Grand Vitara is not as expected.,"{'likes': 259, 'shares': 46, 'comments': 25}",Mumbai
FDBK-MAR-30123,Maruti,DealerReview,2025-01-28 11:35:55,Mileage of my Alto is not as expected.,"{'likes': 120, 'shares': 64, 'comments': 34}",Hyderabad
FDBK-MAR-30124,Maruti,DealerSurvey,2024-12-22 06:43:16,The Dzire is value for money and feature-rich.,"{'likes': 391, 'shares': 39, 'comments': 2}",Patna
FDBK-MAR-30125,Maruti,Twitter,2024-06-23 05:54:45,Mileage of my WagonR is not as expected.,"{'likes': 420, 'shares': 25, 'comments': 32}",Surat
FDBK-MAR-30126,Maruti,YouTubeComment,2024-07-08 05:34:23,"Saw new Ertiga campaign online, looks interesting.","{'likes': 73, 'shares': 18, 'comments': 7}",Ahmedabad
FDBK-MAR-30127,Maruti,Twitter,2025-04-03 07:35:56,Facing issues with AC in my Grand Vitara.,"{'likes': 173, 'shares': 43, 'comments': 2}",Delhi
FDBK-MAR-30128,Maruti,YouTubeComment,2025-04-18 15:36:54,"Considering buying the Dzire, still comparing options.","{'likes': 496, 'shares': 11, 'comments': 0}",Patna
FDBK-MAR-30129,Maruti,Twitter,2024-04-19 02:32:13,"The Alto has good design, waiting for more reviews.","{'likes': 399, 'shares': 74, 'comments': 22}",Surat
FDBK-MAR-30130,Maruti,YouTubeComment,2024-09-10 09:48:56,"Visited dealer to check Alto, staff was okay.","{'likes': 253, 'shares': 22, 'comments': 15}",Patna
FDBK-MAR-30131,Maruti,DealerReview,2024-04-18 18:10:35,Great service from Maruti dealer when I bought my Brezza.,"{'likes': 239, 'shares': 59, 'comments': 31}",Nagpur
FDBK-MAR-30132,Maruti,Instagram,2025-07-06 10:02:18,Great service from Maruti dealer when I bought my WagonR.,"{'likes': 473, 'shares': 60, 'comments': 13}",Bengaluru
FDBK-MAR-30133,Maruti,YouTubeComment,2025-04-01 06:39:55,Service delays are frustrating at Maruti dealership.,"{'likes': 135, 'shares': 53, 'comments': 17}",Jaipur
FDBK-MAR-30134,Maruti,Twitter,2025-02-19 08:49:07,Not happy with the after-sales service for my Ertiga.,"{'likes': 228, 'shares': 33, 'comments': 8}",Delhi
FDBK-MAR-30135,Maruti,Instagram,2024-05-21 05:38:16,"The Fronx is perfect for my family, spacious and reliable.","{'likes': 347, 'shares': 34, 'comments': 14}",Ahmedabad
FDBK-MAR-30136,Maruti,YouTubeComment,2025-04-07 05:42:45,Facing issues with AC in my Baleno.,"{'likes': 341, 'shares': 47, 'comments': 41}",Lucknow
FDBK-MAR-30137,Maruti,DealerSurvey,2024-09-29 10:16:31,The Ignis is value for money and feature-rich.,"{'likes': 76, 'shares': 70, 'comments': 43}",Pune
FDBK-MAR-30138,Maruti,DealerSurvey,2025-03-23 20:06:06,The Ignis is value for money and feature-rich.,"{'likes': 17, 'shares': 50, 'comments': 14}",Jaipur
FDBK-MAR-30139,Maruti,YouTubeComment,2024-01-08 04:31:12,Great service from Maruti dealer when I bought my Swift.,"{'likes': 305, 'shares': 89, 'comments': 46}",Patna
FDBK-MAR-30140,Maruti,Instagram,2024-06-07 10:50:11,"The Ignis is perfect for my family, spacious and reliable.","{'likes': 131, 'shares': 16, 'comments': 44}",Mumbai
FDBK-MAR-30141,Maruti,Instagram,2025-01-05 00:19:40,"Saw new Ertiga campaign online, looks interesting.","{'likes': 21, 'shares': 100, 'comments': 27}",Chennai
FDBK-MAR-30142,Maruti,YouTubeComment,2024-12-06 23:07:10,"Loving my new Alto, smooth ride and great features!","{'likes': 268, 'shares': 16, 'comments': 14}",Bengaluru
FDBK-MAR-30143,Maruti,Twitter,2025-06-03 10:08:23,"Visited dealer to check Alto, staff was okay.","{'likes': 268, 'shares': 61, 'comments': 32}",Mumbai
FDBK-MAR-30144,Maruti,Twitter,2025-03-22 09:55:22,"Loving my new Baleno, smooth ride and great features!","{'likes': 352, 'shares': 7, 'comments': 48}",Bengaluru
FDBK-MAR-30145,Maruti,YouTubeComment,2024-02-27 21:33:21,Very satisfied with the mileage on my Dzire.,"{'likes': 415, 'shares': 30, 'comments': 29}",Chennai
FDBK-MAR-30146,Maruti,DealerSurvey,2025-07-30 10:40:57,"Saw new Ertiga campaign online, looks interesting.","{'likes': 340, 'shares': 74, 'comments': 15}",Patna
FDBK-MAR-30147,Maruti,Facebook,2025-07-08 04:58:21,Service delays are frustrating at Maruti dealership.,"{'likes': 474, 'shares': 63, 'comments': 39}",Jaipur
FDBK-MAR-30148,Maruti,DealerReview,2025-02-04 21:39:58,Great service from Maruti dealer when I bought my Alto.,"{'likes': 217, 'shares': 20, 'comments': 24}",Hyderabad
FDBK-MAR-30149,Maruti,Instagram,2024-02-06 11:47:51,Great service from Maruti dealer when I bought my Alto.,"{'likes': 58, 'shares': 0, 'comments': 14}",Delhi
FDBK-MAR-30150,Maruti,DealerReview,2025-07-17 05:58:35,"Considering buying the Ignis, still comparing options.","{'likes': 273, 'shares': 96, 'comments': 34}",Pune
FDBK-MAR-30151,Maruti,Twitter,2025-03-25 09:13:11,Very satisfied with the mileage on my Dzire.,"{'likes': 225, 'shares': 73, 'comments': 23}",Chennai
FDBK-MAR-30152,Maruti,YouTubeComment,2024-10-21 12:58:24,The Dzire feels overpriced for what it offers.,"{'likes': 467, 'shares': 100, 'comments': 25}",Jaipur
FDBK-MAR-30153,Maruti,Twitter,2024-03-17 15:47:43,The Ignis is value for money and feature-rich.,"{'likes': 318, 'shares': 34, 'comments': 20}",Chennai
FDBK-MAR-30154,Maruti,DealerReview,2024-07-26 13:37:06,"The Dzire has good design, waiting for more reviews.","{'likes': 278, 'shares': 81, 'comments': 11}",Indore
FDBK-MAR-30155,Maruti,YouTubeComment,2024-07-03 06:27:13,Very satisfied with the mileage on my Baleno.,"{'likes': 277, 'shares': 77, 'comments': 5}",Kolkata
FDBK-MAR-30156,Maruti,Twitter,2025-01-04 01:02:06,The Ertiga is value for money and feature-rich.,"{'likes': 305, 'shares': 20, 'comments': 22}",Bengaluru
FDBK-MAR-30157,Maruti,Facebook,2024-04-22 20:23:35,Great service from Maruti dealer when I bought my Baleno.,"{'likes': 138, 'shares': 80, 'comments': 23}",Lucknow
FDBK-MAR-30158,Maruti,Instagram,2025-04-02 07:01:56,"Loving my new Ertiga, smooth ride and great features!","{'likes': 435, 'shares': 99, 'comments': 39}",Kolkata
