campaign_id,brand,campaign_name,start_date,end_date,channel,target_model,audience_segment,message_subject,message_body,impressions,clicks,opens,ctr,conversion_rate
CAMP-MAR-10013,Maruti,Swift Test Drive Campaign 27,2024-11-29,2024-12-29,In-showroom,Swift,Eco-conscious Buyers,Drive home a Swift with low EMI,Drive home a Swift with low EMI — Book online or visit your nearest Maruti dealer. Offer valid from 2024-11-29 to 2024-12-29.,26049,1943,,0.0746,0.055
CAMP-MAR-10014,Maruti,Ertiga Finance Offer Campaign 29,2025-03-12,2025-03-31,TV,Ertiga,Urban Families,Upgrade to Ertiga — Special finance rates,Upgrade to Ertiga — Special finance rates — Book online or visit your nearest Maruti dealer. Offer valid from 2025-03-12 to 2025-03-31.,86623,86,,0.001,0.066
CAMP-MAR-10015,Maruti,Swift Test Drive Campaign 17,2024-01-28,2024-03-15,Social Media,Swift,Urban Families,Swift: Feature-packed & family-friendly,Swift: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2024-01-28 to 2024-03-15.,27582,584,,0.0212,0.053
CAMP-MAR-10016,Maruti,Brezza Exchange Bonus Campaign 21,2024-06-02,2024-06-22,Social Media,Brezza,Fleet Managers,Save big on Brezza — Exchange bonus available,Save big on Brezza — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2024-06-02 to 2024-06-22.,53996,53,,0.001,0.1
CAMP-MAR-10017,Maruti,Baleno Exchange Bonus Campaign 10,2024-06-15,2024-06-29,Social Media,Baleno,Gen Z,Test drive the new Baleno today,Test drive the new Baleno today — Book online or visit your nearest Maruti dealer. Offer valid from 2024-06-15 to 2024-06-29.,24189,892,,0.0369,0.026
CAMP-MAR-10018,Maruti,Baleno Festive Offer Campaign 46,2025-05-29,2025-07-06,Social Media,Baleno,Rural Buyers,Test drive the new Baleno today,Test drive the new Baleno today — Book online or visit your nearest Maruti dealer. Offer valid from 2025-05-29 to 2025-07-06.,35402,400,,0.0113,0.032
CAMP-MAR-10019,Maruti,Fronx Service Camp Campaign 20,2024-07-09,2024-08-15,Dealer,Fronx,Tech-savvy Professionals,Save big on Fronx — Exchange bonus available,Save big on Fronx — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2024-07-09 to 2024-08-15.,47480,2677,,0.0564,0.058
CAMP-MAR-10020,Maruti,Brezza Discount Campaign 27,2024-05-20,2024-06-17,Social Media,Brezza,Urban Families,Test drive the new Brezza today,Test drive the new Brezza today — Book online or visit your nearest Maruti dealer. Offer valid from 2024-05-20 to 2024-06-17.,82337,2585,,0.0314,0.042
CAMP-MAR-10021,Maruti,Swift Test Drive Campaign 2,2025-05-04,2025-05-31,SMS,Swift,Tech-savvy Professionals,Drive home a Swift with low EMI,Drive home a Swift with low EMI — Book online or visit your nearest Maruti dealer. Offer valid from 2025-05-04 to 2025-05-31.,19348,609,,0.0315,0.047
CAMP-MAR-10022,Maruti,Fronx Awareness Campaign 7,2025-01-08,2025-01-29,Social Media,Fronx,Gen Z,Test drive the new Fronx today,Test drive the new Fronx today — Book online or visit your nearest Maruti dealer. Offer valid from 2025-01-08 to 2025-01-29.,33761,40,,0.0012,0.035
CAMP-MAR-10023,Maruti,Fronx Test Drive Campaign 12,2024-11-09,2024-12-14,Dealer,Fronx,Gen Z,Exclusive offer on Fronx — Limited time!,Exclusive offer on Fronx — Limited time! — Book online or visit your nearest Maruti dealer. Offer valid from 2024-11-09 to 2024-12-14.,68901,5470,,0.0794,0.019
CAMP-MAR-10024,Maruti,Fronx Awareness Campaign 16,2024-07-16,2024-09-13,Social Media,Fronx,First-time Buyers,Save big on Fronx — Exchange bonus available,Save big on Fronx — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2024-07-16 to 2024-09-13.,59983,1043,,0.0174,0.041
CAMP-MAR-10025,Maruti,Fronx Service Camp Campaign 41,2024-01-11,2024-02-16,Social Media,Fronx,Gen Z,Fronx: Feature-packed & family-friendly,Fronx: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2024-01-11 to 2024-02-16.,23464,114,,0.0049,0.044
CAMP-MAR-10026,Maruti,Baleno Festive Offer Campaign 24,2025-08-13,2025-09-19,Social Media,Baleno,Affluent Buyers,Save big on Baleno — Exchange bonus available,Save big on Baleno — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2025-08-13 to 2025-09-19.,18041,595,,0.033,0.073
CAMP-MAR-10027,Maruti,Ignis Service Camp Campaign 24,2024-07-20,2024-09-10,Email,Ignis,Fleet Managers,Drive home a Ignis with low EMI,Drive home a Ignis with low EMI — Book online or visit your nearest Maruti dealer. Offer valid from 2024-07-20 to 2024-09-10.,53143,3061,8481,0.0576,0.093
CAMP-MAR-10028,Maruti,Fronx Festive Offer Campaign 20,2025-08-06,2025-09-21,Email,Fronx,Affluent Buyers,Drive home a Fronx with low EMI,Drive home a Fronx with low EMI — Book online or visit your nearest Maruti dealer. Offer valid from 2025-08-06 to 2025-09-21.,70969,3662,9467,0.0516,0.081
CAMP-MAR-10029,Maruti,Fronx Service Camp Campaign 42,2025-05-14,2025-07-13,Display Ads,Fronx,Urban Families,Test drive the new Fronx today,Test drive the new Fronx today — Book online or visit your nearest Maruti dealer. Offer valid from 2025-05-14 to 2025-07-13.,64151,64,,0.001,0.079
CAMP-MAR-10030,Maruti,Brezza Launch Campaign 47,2024-08-08,2024-09-10,Email,Brezza,Gen Z,Brezza: Feature-packed & family-friendly,Brezza: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2024-08-08 to 2024-09-10.,40526,2184,2927,0.0539,0.005
CAMP-MAR-10031,Maruti,Brezza Test Drive Campaign 39,2024-03-21,2024-05-18,Email,Brezza,Urban Families,Exclusive offer on Brezza — Limited time!,Exclusive offer on Brezza — Limited time! — Book online or visit your nearest Maruti dealer. Offer valid from 2024-03-21 to 2024-05-18.,48533,2591,3512,0.0534,0.076
CAMP-MAR-10032,Maruti,Swift Awareness Campaign 12,2024-07-25,2024-08-13,In-showroom,Swift,First-time Buyers,Swift: Feature-packed & family-friendly,Swift: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2024-07-25 to 2024-08-13.,39214,3364,,0.0858,0.036
CAMP-MAR-10033,Maruti,Brezza Launch Campaign 47,2024-08-09,2024-08-19,Social Media,Brezza,First-time Buyers,Brezza: Feature-packed & family-friendly,Brezza: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2024-08-09 to 2024-08-19.,13085,349,,0.0267,0.064
CAMP-MAR-10034,Maruti,Ertiga Finance Offer Campaign 46,2025-04-23,2025-06-08,Dealer,Ertiga,Rural Buyers,Save big on Ertiga — Exchange bonus available,Save big on Ertiga — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2025-04-23 to 2025-06-08.,61604,3246,,0.0527,0.029
CAMP-MAR-10035,Maruti,Fronx Awareness Campaign 21,2024-05-21,2024-06-27,Social Media,Fronx,Gen Z,Exclusive offer on Fronx — Limited time!,Exclusive offer on Fronx — Limited time! — Book online or visit your nearest Maruti dealer. Offer valid from 2024-05-21 to 2024-06-27.,24441,24,,0.001,0.03
CAMP-MAR-10036,Maruti,Swift Finance Offer Campaign 13,2025-03-21,2025-04-08,Social Media,Swift,Tech-savvy Professionals,Save big on Swift — Exchange bonus available,Save big on Swift — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2025-03-21 to 2025-04-08.,32527,748,,0.023,0.032
CAMP-MAR-10037,Maruti,Ignis Service Camp Campaign 25,2024-09-16,2024-11-09,Dealer,Ignis,First-time Buyers,Test drive the new Ignis today,Test drive the new Ignis today — Book online or visit your nearest Maruti dealer. Offer valid from 2024-09-16 to 2024-11-09.,82720,5765,,0.0697,0.043
CAMP-MAR-10038,Maruti,Brezza Discount Campaign 1,2024-01-02,2024-01-24,In-showroom,Brezza,Gen Z,Brezza: Feature-packed & family-friendly,Brezza: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2024-01-02 to 2024-01-24.,81431,6034,,0.0741,0.005
CAMP-MAR-10039,Maruti,Fronx Finance Offer Campaign 10,2025-03-26,2025-04-11,Social Media,Fronx,Rural Buyers,Drive home a Fronx with low EMI,Drive home a Fronx with low EMI — Book online or visit your nearest Maruti dealer. Offer valid from 2025-03-26 to 2025-04-11.,17972,301,,0.0167,0.025
CAMP-MAR-10040,Maruti,Brezza Test Drive Campaign 28,2024-08-25,2024-09-19,In-showroom,Brezza,Rural Buyers,Test drive the new Brezza today,Test drive the new Brezza today — Book online or visit your nearest Maruti dealer. Offer valid from 2024-08-25 to 2024-09-19.,40592,2748,,0.0677,0.04
CAMP-MAR-10041,Maruti,Swift Exchange Bonus Campaign 34,2025-05-01,2025-06-02,Dealer,Swift,First-time Buyers,Swift: Feature-packed & family-friendly,Swift: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2025-05-01 to 2025-06-02.,15005,772,,0.0514,0.06
CAMP-MAR-10042,Maruti,Ignis Discount Campaign 27,2025-04-17,2025-05-22,Email,Ignis,First-time Buyers,Ignis: Feature-packed & family-friendly,Ignis: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2025-04-17 to 2025-05-22.,56111,3596,10739,0.0641,0.044
CAMP-MAR-10043,Maruti,Brezza Awareness Campaign 44,2024-06-29,2024-07-18,Search Ads,Brezza,Rural Buyers,Drive home a Brezza with low EMI,Drive home a Brezza with low EMI — Book online or visit your nearest Maruti dealer. Offer valid from 2024-06-29 to 2024-07-18.,33196,1015,,0.0306,0.056
CAMP-MAR-10044,Maruti,Brezza Discount Campaign 9,2025-04-20,2025-05-19,Display Ads,Brezza,Urban Families,Save big on Brezza — Exchange bonus available,Save big on Brezza — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2025-04-20 to 2025-05-19.,71948,158,,0.0022,0.069
CAMP-MAR-10045,Maruti,Swift Service Camp Campaign 29,2025-08-19,2025-09-20,TV,Swift,Gen Z,Exclusive offer on Swift — Limited time!,Exclusive offer on Swift — Limited time! — Book online or visit your nearest Maruti dealer. Offer valid from 2025-08-19 to 2025-09-20.,44964,44,,0.001,0.018
CAMP-MAR-10046,Maruti,Brezza Test Drive Campaign 20,2024-06-12,2024-06-30,SMS,Brezza,First-time Buyers,Upgrade to Brezza — Special finance rates,Upgrade to Brezza — Special finance rates — Book online or visit your nearest Maruti dealer. Offer valid from 2024-06-12 to 2024-06-30.,29090,957,,0.0329,0.033
CAMP-MAR-10047,Maruti,WagonR Awareness Campaign 10,2024-12-29,2025-01-09,SMS,WagonR,Urban Families,Upgrade to WagonR — Special finance rates,Upgrade to WagonR — Special finance rates — Book online or visit your nearest Maruti dealer. Offer valid from 2024-12-29 to 2025-01-09.,16621,354,,0.0213,0.072
CAMP-MAR-10048,Maruti,Fronx Service Camp Campaign 11,2024-03-16,2024-04-20,Email,Fronx,Tech-savvy Professionals,Test drive the new Fronx today,Test drive the new Fronx today — Book online or visit your nearest Maruti dealer. Offer valid from 2024-03-16 to 2024-04-20.,50036,2426,4154,0.0485,0.045
CAMP-MAR-10049,Maruti,Alto Exchange Bonus Campaign 50,2024-03-30,2024-04-28,In-showroom,Alto,Urban Families,Alto: Feature-packed & family-friendly,Alto: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2024-03-30 to 2024-04-28.,21631,1561,,0.0722,0.057
CAMP-MAR-10050,Maruti,Ignis Test Drive Campaign 21,2024-04-03,2024-05-09,Social Media,Ignis,Urban Families,Exclusive offer on Ignis — Limited time!,Exclusive offer on Ignis — Limited time! — Book online or visit your nearest Maruti dealer. Offer valid from 2024-04-03 to 2024-05-09.,52237,1091,,0.0209,0.068
CAMP-MAR-10051,Maruti,Baleno Awareness Campaign 17,2024-04-27,2024-05-12,Display Ads,Baleno,Gen Z,Upgrade to Baleno — Special finance rates,Upgrade to Baleno — Special finance rates — Book online or visit your nearest Maruti dealer. Offer valid from 2024-04-27 to 2024-05-12.,31990,156,,0.0049,0.027
CAMP-MAR-10052,Maruti,Swift Discount Campaign 9,2025-04-27,2025-06-07,Display Ads,Swift,Gen Z,Exclusive offer on Swift — Limited time!,Exclusive offer on Swift — Limited time! — Book online or visit your nearest Maruti dealer. Offer valid from 2025-04-27 to 2025-06-07.,20484,20,,0.001,0.046
CAMP-MAR-10053,Maruti,Fronx Finance Offer Campaign 2,2024-05-26,2024-06-23,Social Media,Fronx,Rural Buyers,Fronx: Feature-packed & family-friendly,Fronx: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2024-05-26 to 2024-06-23.,64511,2096,,0.0325,0.022
CAMP-MAR-10054,Maruti,Fronx Discount Campaign 21,2025-08-10,2025-08-28,Social Media,Fronx,First-time Buyers,Drive home a Fronx with low EMI,Drive home a Fronx with low EMI — Book online or visit your nearest Maruti dealer. Offer valid from 2025-08-10 to 2025-08-28.,105188,883,,0.0084,0.044
CAMP-MAR-10055,Maruti,Fronx Test Drive Campaign 3,2025-02-07,2025-03-30,Social Media,Fronx,Urban Families,Upgrade to Fronx — Special finance rates,Upgrade to Fronx — Special finance rates — Book online or visit your nearest Maruti dealer. Offer valid from 2025-02-07 to 2025-03-30.,22676,641,,0.0283,0.07
CAMP-MAR-10056,Maruti,Alto Service Camp Campaign 29,2024-05-13,2024-07-06,In-showroom,Alto,First-time Buyers,Alto: Feature-packed & family-friendly,Alto: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2024-05-13 to 2024-07-06.,20338,1431,,0.0704,0.065
CAMP-MAR-10057,Maruti,Ignis Launch Campaign 25,2024-08-31,2024-10-09,In-showroom,Ignis,Affluent Buyers,Exclusive offer on Ignis — Limited time!,Exclusive offer on Ignis — Limited time! — Book online or visit your nearest Maruti dealer. Offer valid from 2024-08-31 to 2024-10-09.,47543,3109,,0.0654,0.082
CAMP-MAR-10058,Maruti,Fronx Finance Offer Campaign 3,2024-01-24,2024-02-14,TV,Fronx,Tech-savvy Professionals,Save big on Fronx — Exchange bonus available,Save big on Fronx — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2024-01-24 to 2024-02-14.,73657,73,,0.001,0.055
CAMP-MAR-10059,Maruti,Fronx Finance Offer Campaign 21,2024-11-23,2024-12-22,Social Media,Fronx,Urban Families,Save big on Fronx — Exchange bonus available,Save big on Fronx — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2024-11-23 to 2024-12-22.,59005,820,,0.0139,0.062
CAMP-MAR-10060,Maruti,Brezza Awareness Campaign 11,2024-05-02,2024-06-11,Social Media,Brezza,Urban Families,Drive home a Brezza with low EMI,Drive home a Brezza with low EMI — Book online or visit your nearest Maruti dealer. Offer valid from 2024-05-02 to 2024-06-11.,9602,353,,0.0368,0.065
CAMP-MAR-10061,Maruti,Baleno Service Camp Campaign 4,2025-06-30,2025-08-24,Social Media,Baleno,Tech-savvy Professionals,Exclusive offer on Baleno — Limited time!,Exclusive offer on Baleno — Limited time! — Book online or visit your nearest Maruti dealer. Offer valid from 2025-06-30 to 2025-08-24.,37147,37,,0.001,0.067
CAMP-MAR-10062,Maruti,Swift Finance Offer Campaign 29,2025-03-27,2025-05-06,SMS,Swift,Gen Z,Exclusive offer on Swift — Limited time!,Exclusive offer on Swift — Limited time! — Book online or visit your nearest Maruti dealer. Offer valid from 2025-03-27 to 2025-05-06.,26244,1238,,0.0472,0.033
CAMP-MAR-10063,Maruti,Brezza Service Camp Campaign 44,2025-01-13,2025-03-03,TV,Brezza,Tech-savvy Professionals,Exclusive offer on Brezza — Limited time!,Exclusive offer on Brezza — Limited time! — Book online or visit your nearest Maruti dealer. Offer valid from 2025-01-13 to 2025-03-03.,57796,57,,0.001,0.041
CAMP-MAR-10064,Maruti,Fronx Festive Offer Campaign 30,2024-05-12,2024-06-04,SMS,Fronx,Tech-savvy Professionals,Upgrade to Fronx — Special finance rates,Upgrade to Fronx — Special finance rates — Book online or visit your nearest Maruti dealer. Offer valid from 2024-05-12 to 2024-06-04.,53819,2244,,0.0417,0.036
CAMP-MAR-10065,Maruti,Alto Discount Campaign 44,2025-02-12,2025-04-09,Search Ads,Alto,Gen Z,Drive home a Alto with low EMI,Drive home a Alto with low EMI — Book online or visit your nearest Maruti dealer. Offer valid from 2025-02-12 to 2025-04-09.,12745,630,,0.0494,0.027
CAMP-MAR-10066,Maruti,WagonR Discount Campaign 24,2024-06-21,2024-08-15,In-showroom,WagonR,First-time Buyers,Save big on WagonR — Exchange bonus available,Save big on WagonR — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2024-06-21 to 2024-08-15.,21091,1725,,0.0818,0.032
CAMP-MAR-10067,Maruti,Swift Discount Campaign 45,2024-12-04,2025-01-05,In-showroom,Swift,Urban Families,Exclusive offer on Swift — Limited time!,Exclusive offer on Swift — Limited time! — Book online or visit your nearest Maruti dealer. Offer valid from 2024-12-04 to 2025-01-05.,15546,942,,0.0606,0.042
CAMP-MAR-10068,Maruti,Brezza Festive Offer Campaign 5,2024-03-08,2024-03-25,SMS,Brezza,Rural Buyers,Save big on Brezza — Exchange bonus available,Save big on Brezza — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2024-03-08 to 2024-03-25.,14532,645,,0.0444,0.032
CAMP-MAR-10069,Maruti,Dzire Finance Offer Campaign 41,2025-02-20,2025-03-14,In-showroom,Dzire,Rural Buyers,Dzire: Feature-packed & family-friendly,Dzire: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2025-02-20 to 2025-03-14.,22340,2041,,0.0914,0.053
CAMP-MAR-10070,Maruti,Dzire Test Drive Campaign 19,2025-06-09,2025-07-14,SMS,Dzire,Tech-savvy Professionals,Test drive the new Dzire today,Test drive the new Dzire today — Book online or visit your nearest Maruti dealer. Offer valid from 2025-06-09 to 2025-07-14.,20429,492,,0.0241,0.056
CAMP-MAR-10071,Maruti,Baleno Discount Campaign 17,2024-05-24,2024-06-27,Dealer,Baleno,First-time Buyers,Test drive the new Baleno today,Test drive the new Baleno today — Book online or visit your nearest Maruti dealer. Offer valid from 2024-05-24 to 2024-06-27.,29505,2265,,0.0768,0.06
CAMP-MAR-10072,Maruti,Swift Test Drive Campaign 35,2025-03-13,2025-04-14,Search Ads,Swift,Urban Families,Exclusive offer on Swift — Limited time!,Exclusive offer on Swift — Limited time! — Book online or visit your nearest Maruti dealer. Offer valid from 2025-03-13 to 2025-04-14.,39383,1673,,0.0425,0.076
CAMP-MAR-10073,Maruti,Swift Test Drive Campaign 27,2024-02-23,2024-03-17,Search Ads,Swift,Eco-conscious Buyers,Exclusive offer on Swift — Limited time!,Exclusive offer on Swift — Limited time! — Book online or visit your nearest Maruti dealer. Offer valid from 2024-02-23 to 2024-03-17.,12612,302,,0.0239,0.031
CAMP-MAR-10074,Maruti,Fronx Festive Offer Campaign 11,2024-01-08,2024-02-26,Social Media,Fronx,Eco-conscious Buyers,Upgrade to Fronx — Special finance rates,Upgrade to Fronx — Special finance rates — Book online or visit your nearest Maruti dealer. Offer valid from 2024-01-08 to 2024-02-26.,43557,492,,0.0113,0.042
CAMP-MAR-10075,Maruti,Swift Service Camp Campaign 30,2024-09-04,2024-09-19,Social Media,Swift,Rural Buyers,Test drive the new Swift today,Test drive the new Swift today — Book online or visit your nearest Maruti dealer. Offer valid from 2024-09-04 to 2024-09-19.,33487,555,,0.0166,0.02
CAMP-MAR-10076,Maruti,Fronx Awareness Campaign 11,2025-04-01,2025-04-08,Search Ads,Fronx,Gen Z,Test drive the new Fronx today,Test drive the new Fronx today — Book online or visit your nearest Maruti dealer. Offer valid from 2025-04-01 to 2025-04-08.,72954,1612,,0.0221,0.037
CAMP-MAR-10077,Maruti,Swift Festive Offer Campaign 10,2024-01-02,2024-01-31,Email,Swift,Urban Families,Test drive the new Swift today,Test drive the new Swift today — Book online or visit your nearest Maruti dealer. Offer valid from 2024-01-02 to 2024-01-31.,31749,1466,4298,0.0462,0.047
CAMP-MAR-10078,Maruti,Dzire Service Camp Campaign 27,2025-08-21,2025-09-05,Dealer,Dzire,Rural Buyers,Dzire: Feature-packed & family-friendly,Dzire: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2025-08-21 to 2025-09-05.,30839,2177,,0.0706,0.035
CAMP-MAR-10079,Maruti,Swift Test Drive Campaign 45,2025-08-21,2025-09-23,Social Media,Swift,Gen Z,Swift: Feature-packed & family-friendly,Swift: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2025-08-21 to 2025-09-23.,13436,495,,0.0368,0.018
CAMP-MAR-10080,Maruti,Brezza Festive Offer Campaign 46,2024-05-01,2024-05-17,Social Media,Brezza,Rural Buyers,Upgrade to Brezza — Special finance rates,Upgrade to Brezza — Special finance rates — Book online or visit your nearest Maruti dealer. Offer valid from 2024-05-01 to 2024-05-17.,16465,237,,0.0144,0.026
CAMP-MAR-10081,Maruti,Fronx Launch Campaign 14,2024-09-18,2024-11-09,Search Ads,Fronx,Urban Families,Upgrade to Fronx — Special finance rates,Upgrade to Fronx — Special finance rates — Book online or visit your nearest Maruti dealer. Offer valid from 2024-09-18 to 2024-11-09.,53128,2242,,0.0422,0.075
CAMP-MAR-10082,Maruti,Fronx Awareness Campaign 44,2025-05-24,2025-06-28,TV,Fronx,Eco-conscious Buyers,Upgrade to Fronx — Special finance rates,Upgrade to Fronx — Special finance rates — Book online or visit your nearest Maruti dealer. Offer valid from 2025-05-24 to 2025-06-28.,31451,537,,0.0171,0.027
CAMP-MAR-10083,Maruti,Fronx Finance Offer Campaign 33,2025-07-16,2025-08-25,Dealer,Fronx,Urban Families,Test drive the new Fronx today,Test drive the new Fronx today — Book online or visit your nearest Maruti dealer. Offer valid from 2025-07-16 to 2025-08-25.,28078,1322,,0.0471,0.063
CAMP-MAR-10084,Maruti,Fronx Launch Campaign 8,2024-05-10,2024-05-21,Social Media,Fronx,Rural Buyers,Upgrade to Fronx — Special finance rates,Upgrade to Fronx — Special finance rates — Book online or visit your nearest Maruti dealer. Offer valid from 2024-05-10 to 2024-05-21.,74372,74,,0.001,0.045
CAMP-MAR-10085,Maruti,Brezza Test Drive Campaign 36,2025-07-11,2025-08-19,Social Media,Brezza,First-time Buyers,Brezza: Feature-packed & family-friendly,Brezza: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2025-07-11 to 2025-08-19.,49171,49,,0.001,0.056
CAMP-MAR-10086,Maruti,Alto Test Drive Campaign 14,2024-02-23,2024-03-07,Search Ads,Alto,Affluent Buyers,Alto: Feature-packed & family-friendly,Alto: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2024-02-23 to 2024-03-07.,21657,446,,0.0206,0.051
CAMP-MAR-10087,Maruti,Fronx Awareness Campaign 15,2025-05-05,2025-05-24,Dealer,Fronx,First-time Buyers,Fronx: Feature-packed & family-friendly,Fronx: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2025-05-05 to 2025-05-24.,67719,2539,,0.0375,0.031
CAMP-MAR-10088,Maruti,Baleno Festive Offer Campaign 48,2025-02-23,2025-04-21,Dealer,Baleno,Gen Z,Test drive the new Baleno today,Test drive the new Baleno today — Book online or visit your nearest Maruti dealer. Offer valid from 2025-02-23 to 2025-04-21.,37572,1638,,0.0436,0.043
